HHS,Category,Year,Actual,Budget,Variance,Variance_Pct
Wide Bay,Other Commercial,2019,59805.0,60425.0,-621.0,-1.03
Wide Bay,Other Commercial,2020,49484.0,48990.0,492.0,1.0
Wide Bay,Other Commercial,2021,58927.0,55181.0,3746.0,6.79
Wide Bay,Other Commercial,2022,69076.0,71886.0,-2810.0,-3.91
Wide Bay,Other Commercial,2023,63369.0,63488.0,-119.0,-0.19
Wide Bay,Other Commercial,2024,71048.0,69493.0,1553.0,2.23
Wide Bay,Pharmacy Retail,2019,363312.0,355955.0,7357.0,2.07
Wide Bay,Pharmacy Retail,2020,298783.0,312228.0,-13446.0,-4.31
Wide Bay,Pharmacy Retail,2021,351523.0,360708.0,-9183.0,-2.55
Wide Bay,Pharmacy Retail,2022,389229.0,400913.0,-11685.0,-2.91
Wide Bay,Pharmacy Retail,2023,410004.0,409031.0,972.0,0.24
Wide Bay,Pharmacy Retail,2024,415049.0,395084.0,19963.0,5.05
Wide Bay,Private Patient Fees,2019,1035331.0,1024021.0,11310.0,1.1
Wide Bay,Private Patient Fees,2020,816678.0,841647.0,-24969.0,-2.97
Wide Bay,Private Patient Fees,2021,997113.0,981275.0,15838.0,1.61
Wide Bay,Private Patient Fees,2022,1227282.0,1150371.0,76912.0,6.69
Wide Bay,Private Patient Fees,2023,1206257.0,1140273.0,65985.0,5.79
Wide Bay,Private Patient Fees,2024,1186176.0,1193684.0,-7508.0,-0.63
Wide Bay,Research Grants,2019,210478.0,205038.0,5440.0,2.65
Wide Bay,Research Grants,2020,166383.0,166069.0,315.0,0.19
Wide Bay,Research Grants,2021,185408.0,190026.0,-4618.0,-2.43
Wide Bay,Research Grants,2022,244681.0,259513.0,-14832.0,-5.72
Wide Bay,Research Grants,2023,236483.0,237851.0,-1367.0,-0.57
Wide Bay,Research Grants,2024,240129.0,244965.0,-4836.0,-1.97
